ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
32,Petoro AS,Petoro AS,Petoro,1,Parent,,Ownership data not available,Norway,NOC,,"381,18",Norway,0%,0%,0%,0%,0%,"20,51%","20,51%","686,6",Norway,"69,83%","70,71%","189,03","Iceland, Norway",/,not applicable,FY22,Barents Sea,"Environmental Destruction, Litigation",https://gogel.org/lookup/100029,,100029,453,4297758571
33,Government of India,Oil and Natural Gas Corporation Ltd (ONGC),Oil and Natural Gas(ONGC),0.59,Parent,,,India,INOC,,"372,41","Azerbaijan, Brazil, Colombia, India, Myanmar, Russia, South Sudan, Syria, UAE, Venezuela, Vietnam","0,76%",0%,"0,74%","1,13%","1,57%","5,36%","9,57%","1758,42","Azerbaijan, Brazil, India, Mozambique, Myanmar, Russia, UAE, Venezuela","30,82%","58,7%","1286,88","Azerbaijan, Bangladesh, Colombia, India, Israel, Kazakhstan, Libya, Myanmar, Russia, South Sudan, Venezuela, Vietnam","99,96%",estimated lower bound,FY22-23,"Cabo Delgado, Myanmar Military","Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100026,,100026,417,ONGC.NS
34,EQT Corporation,EQT Corporation,EQT,1,Parent,,,USA,Independent,,"369,61",USA,"99,99%",0%,0%,0%,0%,0%,"99,99%","2656,27",USA,100%,"39,12%","55,9",USA,"99,82%",estimated lower bound,FY22,,,,,100034,216,EQT.N
35,Southwestern Energy Company,Southwestern Energy Company,Southwestern Energy Company,1,Parent,,,USA,Independent,,"343,35",USA,"99,99%",0%,0%,0%,0%,0%,"99,99%","1434,01",USA,100%,"64,62%","46,21",USA,100%,exact number,FY22,,,,,100054,585,SWN.N
36,Nigerian National Petroleum Company Ltd (NNPC),Nigerian National Petroleum Company Ltd (NNPC),Nigerian National Petroleum Company(NNPC),1,Parent,,Ownership data not available,Nigeria,NOC,,"336,08",Nigeria,0%,0%,0%,0%,"1,56%",0%,"1,56%","1554,23",Nigeria,not applicable,"85,36%","26,2",Nigeria,90%,estimated lower bound interval,FY21,,,,,100032,398,5000009711
37,Petroleos de Venezuela SA (PDVSA),Petroleos de Venezuela SA (PDVSA),Petroleos de Venezuela(PDVSA),1,Parent,,Ownership data not available,Venezuela,NOC,,"309,98",Venezuela,0%,0%,0%,"31,38%",0%,0%,"31,38%","2346,03",Venezuela,"54,51%","67,79%","3,87","Cuba, Venezuela",90%,estimated lower bound interval,,,,,,100030,461,PDVSA.UNL
38,Pioneer Natural Resources Company,Pioneer Natural Resources Company,Pioneer Natural Resources,1,Parent,,Ownership data not available,USA,Independent,,"297,37",USA,"98,44%",0%,0%,0%,0%,0%,"98,44%","1485,09",USA,100%,"81,94%","2084,79","Nigeria, USA",100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100058,The company is in the process of being acquired by Exxon Mobil Corporation (also on GOGEL). The transaction is expected to close in H1 2024.,100058,478,4295916203
39,Chesapeake Energy Corporation,Chesapeake Energy Corporation,Chesapeake,1,Parent,,,USA,Independent,,"295,63",USA,"99,79%",0%,0%,0%,0%,0%,"99,79%","984,65",USA,100%,"64,92%","35,02",USA,100%,exact number,FY22,,,,,100046,104,CHK.O
40,Government of Indonesia,PT Pertamina (Persero),Pertamina,1,Parent,,Ownership data not available,Indonesia,INOC,,"295,22","Algeria, Indonesia, Iraq, Malaysia, USA","0,27%",0%,"0,01%","12,29%",0%,0%,"12,57%","454,51","Indonesia, Iraq, USA","5,27%","97,32%","294,85","Algeria, Colombia, Indonesia, Libya, Malaysia, USA","80,29%",estimated lower bound,FY22,,,,,100035,501,5000067369
41,Cenovus Energy Inc,Cenovus Energy Inc,Cenovus,1,Parent,,,Canada,Integrated,,"286,67","Canada, China, Indonesia","7,18%","72,23%",0%,"2,48%",0%,0%,"81,89%","1210,11","Canada, Indonesia","88,45%","46,22%","40,74","Canada, China, Indonesia","97,99%",estimated lower bound,FY22,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100053,,100053,97,CVE.TO
42,Suncor Energy Inc,Suncor Energy Inc,Suncor,1,Parent,,,Canada,Integrated,,"279,47","Canada, Libya, Norway, United Kingdom",0%,"87,7%",0%,0%,0%,0%,"87,7%","555,42",Canada,"75,65%","24,1%",38,"Canada, Libya, Norway, Syria, United Kingdom","94,32%",exact lower bound,FY22,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100039,,100039,601,SU.N
43,"Ministry of Oil, Iraq",Basra Oil Company (BOC),Basra Oil Company,1,Parent,,,Iraq,NOC,,"274,44",Iraq,0%,0%,0%,0%,0%,0%,0%,"1066,56",Iraq,not applicable,"6,16%",0,,90%,estimated lower bound interval,,,,,,100038,39,4298119863
44,National Oil Corporation (NOC),National Oil Corporation (NOC),Lybia National Oil(NOC),1,Parent,,Government of Lybia Holding N/A,Libya,NOC,,"274,13","Algeria, Libya",0%,0%,0%,0%,0%,0%,0%,"346,93",Libya,not applicable,100%,"16,07",Libya,90%,estimated lower bound interval,,,,,,100085,386,5000074094
45,Coterra Energy Inc,Coterra Energy Inc,Coterra,1,Parent,,,USA,Independent,,"273,03",USA,"99,82%",0%,0%,0%,0%,0%,"99,82%","1090,24",USA,100%,"72,5%","57,74",USA,"99,28%",exact lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100056,,100056,143,CTRA.K
46,Devon Energy Corporation,Devon Energy Corporation,Devon Energy,1,Parent,,,USA,Independent,,"270,24",USA,"99,31%",0%,0%,0%,0%,0%,"99,31%","1320,66",USA,100%,"74,14%","311,61","Canada, USA",100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100051,,100051,167,
47,Ministerio de Hacienda y Crédito Público de Colombia,Ecopetrol,Ecopetrol,0.88,Parent,,,Colombia,NOC,,"247,6","Colombia, Peru, USA","5,39%",0%,0%,"47,6%","0,57%",0%,"53,57%","447,56","Brazil, Colombia, USA","98,4%","67,19%","502,45","Brazil, Colombia, Mexico, USA","91,46%",estimated lower bound,FY22,"Amazon Oil and Gas Drilling, Permian Basin","Environmental Destruction, Social Harm",https://gogel.org/lookup/100041,,100041,185,ECO.CN
48,JSC Uzbekneftegaz,JSC Uzbekneftegaz,Uzbekneftegaz,1,Parent,,Ownership data not available,Uzbekistan,NOC,,"237,05","Kyrgyzstan, Turkmenistan, Uzbekistan",0%,0%,0%,"0,02%",0%,0%,"0,02%","21,67",Uzbekistan,not applicable,"67,44%","123,99",Uzbekistan,"84,06%",exact lower bound,FY22,,,,,100036,317,4296892170
49,Repsol SA,Repsol SA,Repsol,1,Parent,,,Spain,Integrated,,"234,49","Algeria, Bolivia, Brazil, Canada, Colombia, Indonesia, Libya, Norway, Peru, Spain, Trinidad and Tobago, United Kingdom, USA, Venezuela","22,59%",0%,0%,"1,42%","8,01%","0,35%","32,36%","1396,04","Brazil, Canada, Colombia, Iraq, Norway, Trinidad and Tobago, United Kingdom, USA, Venezuela","87,97%","86,67%","253,16","Algeria, Barbados, Bolivia, Brazil, Bulgaria, Canada, Colombia, Ecuador, Greece, Guyana, Indonesia, Libya, Malaysia, Mexico, Morocco, Norway, Peru, Russia, Timor-Leste, Trinidad and Tobago, United Kingdom, USA, Venezuela, Vietnam","78,28%",estimated lower bound,FY22,"Guyana Offshore, Amazon Oil and Gas Drilling, Willow and NPR-A","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100037,,100037,518,REP.MC
50,Wintershall Dea AG,Wintershall Dea AG,Wintershall Dea,1,Parent,,Ownership data not available,Germany,Independent,,"233,66","Algeria, Argentina, Denmark, Egypt, Germany, Libya, Mexico, Netherlands, Norway, Russia, United Kingdom","27,13%",0%,0%,"0,41%",0%,"58,6%","60,67%","662,84","Argentina, Egypt, Mexico, Netherlands, Norway, UAE","29,68%","95,32%","170,16","Argentina, Brazil, Denmark, Egypt, Germany, Libya, Mexico, Netherlands, Norway, Russia, UAE, United Kingdom","99,56%",exact lower bound,FY22,"Vaca Muerta, Barents Sea","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100044,,100044,689,4298497340
51,PTT PCL,PTT Exploration and Production Public Company Ltd (PTTEP),PTT(PTTEP),0.64,Parent,,,Thailand,INOC,,"233,03","Algeria, Indonesia, Kazakhstan, Malaysia, Malaysia/Thailand, Myanmar, Oman, Thailand, UAE, Vietnam","8,31%",0%,0%,"0,6%",0%,0%,"8,91%","656,36","Malaysia, Malaysia/Thailand, Mozambique, Myanmar, Oman, Vietnam",not applicable,"53,3%","195,85","Angola, Australia, Brazil, Indonesia, Malaysia, Mexico, Myanmar, Oman, Thailand, UAE, Vietnam","98,26%",estimated lower bound,FY22,"Cabo Delgado, Myanmar Military","Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100055,,100055,503,PTTEP.BK
52,Ovintiv Inc,Ovintiv Inc,Ovintiv,1,Parent,,,USA,Independent,,"232,06","Canada, USA","99,34%",0%,0%,0%,0%,0%,"99,34%","978,97","Canada, USA",100%,"72,69%","93,59","Canada, USA","99,45%",exact lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100043,,100043,430,OVV.N
53,Antero Resources Corporation,Antero Resources Corporation,Antero,1,Parent,,,USA,Independent,,"223,5",USA,100%,0%,0%,0%,0%,0%,100%,"1123,9",USA,100%,"76,36%","26,79",USA,100%,exact number,FY22,,,,,100040,20,AR.N
54,OQ SAOC,Energy Development Oman SAOC (EDO),Energy Development Oman(EDO),1,Parent,,,Oman,Exploration Company,,"220,09",Oman,"1,17%",0%,0%,"14,38%",0%,0%,"15,55%","69,38",Oman,not applicable,"38,67%","109,24",Oman,90%,estimated lower bound interval,,,,,,100042,201,5079227074
55,PJSC Tatneft,PJSC Tatneft,Tatneft,1,Parent,,,Russia,Integrated,,"217,02","Russia, Syria",0%,"11,87%",0%,"0,84%",0%,0%,"12,72%","47,76",Russia,"72,31%",100%,"60,25","Libya, Russia, Syria","92,85%",exact lower bound,FY22,,,,,100048,488,TATN.MM
56,Continental Resources Inc,Continental Resources Inc,Continental Resources,1,Parent,,Ownership data not available,USA,Independent,,"212,35",USA,"98,82%",0%,0%,0%,0%,0%,"98,82%","1138,81",USA,100%,"74,62%","285,88",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100061,,100061,141,CLR^K22
57,INPEX Corporation,INPEX Corporation,INPEX,1,Parent,,,Japan,Industrial,,"205,23","Angola, Australia, Azerbaijan, Canada, Egypt, Indonesia, Japan, Kazakhstan, Malaysia, Mexico, Norway, Russia, Timor-Leste, UAE, USA, Vietnam","1,9%",0%,0%,"0,16%","1,5%",0%,"3,57%","1124,54","Australia, Azerbaijan, Indonesia, Iraq, Norway, Russia, UAE","3,86%","57,58%","192,62","Angola, Australia, Azerbaijan, Democratic Republic of the Congo, Indonesia, Iraq, Japan, Kazakhstan, Malaysia, Mexico, Norway, Russia, Timor-Leste, UAE, USA, Venezuela","99,1%",exact lower bound,FY22,Barents Sea,"Environmental Destruction, Litigation",https://gogel.org/lookup/100047,,100047,291,1605.T
58,Sovereign Wealth Fund Samruk-Kazyna JSC,JSC NC KazMunayGas (KMG),KazMunayGas(KMG),0.67,Parent,,,Kazakhstan,NOC,,"200,19",Kazakhstan,0%,0%,0%,"3,66%",0%,0%,"3,66%","470,61",Kazakhstan,not applicable,"4,79%","82,86","Kazakhstan, Romania, Russia","96,19%",exact number,FY22,,,,,100073,313,KMGZ.KZ
59,YPF SA,YPF SA,YPF,1,Parent,,Ownership data not available,Argentina,NOC,,"184,35",Argentina,"46,74%",0%,0%,"1,1%",0%,0%,"47,85%","693,16",Argentina,100%,"93,3%","123,42","Argentina, Uruguay","92,52%",estimated lower bound,FY22,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100057,,100057,695,YPFDm.BA
60,Tourmaline Oil Corp,Tourmaline Oil Corp,Tourmaline,1,Parent,,,Canada,Independent,,"183,3",Canada,"95,93%",0%,"0,32%",0%,0%,0%,"96,25%","982,82",Canada,100%,82%,"52,35",Canada,100%,exact number,FY22,,,,,100074,633,TOU.TO
61,Diamondback Energy Inc,Diamondback Energy Inc,Diamondback,1,Parent,,,USA,Independent,,"177,11",USA,"99,2%",0%,0%,0%,0%,0%,"99,2%","946,89",USA,100%,"66,98%","1606,63",USA,"99,2%",exact lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100067,,100067,169,FANG.O
62,State Oil Company of the Azerbaijan Republic (SOCAR),State Oil Company of the Azerbaijan Republic (SOCAR),State Oil Company of the Azerbaijan Republic (SOCAR),1,Parent,,Ownership data not available,Azerbaijan,NOC,,"177,07",Azerbaijan,0%,0%,0%,"0,42%",0%,0%,"0,42%","658,99",Azerbaijan,not applicable,0%,"84,46",Azerbaijan,"99,1%",exact lower bound,FY22,Southern Gas Corridor,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100059,,100059,594,5000637032
63,National Oil and Gas authority of Bahrain,Bapco Energies BSC,Bapco,1,Parent,,Holding 100%,Bahrain,NOC,,"176,63","Bahrain, Saudi Arabia",0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"2,32",Bahrain,"99,44%",exact lower bound,FY22,,,,Formerly known as The Oil and Gas Holding BSC (c) (nogaholding),100080,38,5041754295
64,APA Corporation,APA Corporation,APA Corporation,1,Parent,,,USA,Independent,,"174,45","Egypt, United Kingdom, USA","51,88%",0%,0%,0%,0%,0%,"51,88%","657,5","Egypt, USA","96,84%","52,48%","336,39","Canada, Dominican Republic, Egypt, Suriname, United Kingdom, USA, Uruguay",100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100049,,100049,21,APA.O
65,JSC Independent Petroleum Company (NNK),JSC Independent Petroleum Company (NNK),Independent Petroleum Company (NNK),1,Parent,,Not found,Russia,Independent,,"172,68","Kazakhstan, Russia",0%,0%,0%,"0,11%",0%,"11,66%","11,77%","0,11",Russia,not applicable,100%,"13,87",Russia,90%,estimated lower bound interval,,,,,,100276,312,5000038176
66,Hilcorp Energy Company,Hilcorp Energy Company,Hilcorp,1,Parent,,Ownership data not available,USA,Independent,,"167,51",USA,"12,54%",0%,"11,69%",0%,0%,"34,4%","58,62%","59,48",USA,100%,"57,92%","58,49",USA,90%,estimated lower bound interval,,,,,,100077,278,4298009222
67,OMV AG,OMV AG,OMV,1,Parent,,,Austria,INOC,,"164,75","Austria, Iraq, Libya, Malaysia, New Zealand, Norway, Romania, Russia, Tunisia, UAE, Yemen",0%,0%,0%,"4,05%",0%,"23,55%","27,6%","680,86","Iraq, Malaysia, Norway, Romania, UAE","3,68%","69,33%","187,49","Australia, Austria, Bulgaria, Georgia, Iraq, Libya, Malaysia, Mexico, New Zealand, Norway, Romania, Russia, Tunisia, UAE, Yemen","88,77%",estimated lower bound,FY22,"OMV Espionage Scandal, Barents Sea","Environmental Destruction, Social Harm, Litigation",https://gogel.org/lookup/100064,,100064,422,OMVV.VI
68,Hess Corporation,Hess Corporation,Hess,1,Parent,,,USA,Independent,,"159,67","Guyana, Libya, Malaysia, Malaysia/Thailand, USA","42,69%",0%,0%,0%,"19,04%",0%,"61,73%","1565,58","Guyana, Malaysia, USA","99,57%","82,93%","465,89","Canada, Colombia, Denmark, Guyana, Indonesia, Libya, Malaysia, Malaysia/Thailand, Suriname, USA",100%,exact number,FY22,Guyana Offshore,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100062,The company is in the process of being acquired by Chevron Corporation (also on GOGEL). The transaction is expected to close in H1 2024.,100062,273,HES.N
69,Woodside Energy Group Ltd,Woodside Energy Group Ltd,Woodside,1,Parent,,,Australia,Independent,,"159,13","Australia, Canada, Trinidad and Tobago, USA",0%,0%,0%,"1,18%","4,87%",0%,"6,06%","2384,75","Australia, Mexico, Senegal, USA","11,29%","13,19%","234,65","Australia, Barbados, Bulgaria, Canada, Republic of the Congo, Egypt, Ireland, Mexico, Myanmar, Senegal, South Korea, Timor-Leste, Trinidad and Tobago, United Kingdom, USA","98,74%",exact lower bound,FY22,Scarborough Gas,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100083,,100083,690,WDS.AX
70,Marathon Oil Corporation,Marathon Oil Corporation,Marathon,1,Parent,,,USA,Independent,,"157,55","Equatorial Guinea, USA","82,31%",0%,0%,0%,0%,0%,"82,31%","687,36",USA,100%,"67,04%","166,68","Equatorial Guinea, USA",100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100052,,100052,360,MRO
71,Mubadala Petroleum LLC (Mubadala Energy),Mubadala Petroleum LLC (Mubadala Energy),Mubadala,1,Parent,,Ownership data not available,UAE,Investor,,"153,37","Egypt, Indonesia, Israel, Malaysia, Oman, Qatar, Russia, Thailand",0%,0%,0%,"3,29%","8,12%",0%,"11,4%","25,04",Israel,"82,51%","55,69%","22,07","Egypt, Indonesia, Israel, Malaysia, Russia, Thailand, Vietnam",90%,estimated lower bound interval,,,,,,100068,379,5073354781
72,Range Resources Corporation,Range Resources Corporation,Range Resources,1,Parent,,,USA,Independent,,"147,45",USA,"99,77%",0%,0%,0%,0%,0%,"99,77%","1129,5",USA,100%,"54,92%","34,21",USA,"99,76%",estimated lower bound,FY22,,,,,100060,510,RRC.N
73,Ascent Resources LLC,Ascent Resources LLC,Ascent Resources,1,Parent,,Ownership data not available,USA,Independent,,"147,09",USA,100%,0%,0%,0%,0%,0%,100%,"577,21",USA,100%,"75,34%","12,64",USA,100%,exact number,FY22,,,,,100065,29,5046318393
74,North Oil Company (NOC),North Oil Company (NOC),North Oil Company(NOC),1,Parent,,Ownership data not available,Iraq,NOC,,"135,96",Iraq,0%,0%,0%,"0,13%",0%,0%,"0,13%",0,,0%,not applicable,"0,04",Iraq,NA,data unavailable,,,,,,100071,404,5037357373
75,Aethon Energy Management LLC,Aethon Energy Management LLC,Aethon,1,Parent,,Ownership data not available,USA,Investor,,"135,71",USA,"99,41%",0%,0%,0%,0%,0%,"99,41%","1069,14",USA,100%,"73,16%","185,9",USA,90%,estimated lower bound interval,,,,,,100096,9,5045915930
76,ARC Resources Ltd,ARC Resources Ltd,ARC Resources,1,Parent,,,Canada,Independent,,"126,12",Canada,"99,44%",0%,0%,0%,0%,0%,"99,44%","801,7",Canada,100%,"72,83%","54,52",Canada,100%,exact number,FY22,,,,,100109,26,ARX.TO
77,Endeavour Energy Resources LP,Endeavour Energy Resources LP,Endeavour,1,Parent,,Ownership data not available,USA,Independent,,"119,56",USA,"95,33%",0%,0%,0%,0%,0%,"95,33%","1149,06",USA,100%,"78,28%","298,35",USA,90%,estimated lower bound interval,,,,,,100097,197,4297131050
78,Shaanxi Yanchang Petroleum (Group) Co Ltd,Shaanxi Yanchang Petroleum (Group) Co Ltd,Shaanxi Yanchang(SXYCPC),1,Parent,,Ownership data not available,China,Industrial,,"118,71",China,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"0,87",China,"55,64%",estimated lower bound,FY22,,,,,100072,559,5000059947
79,Empresa Publica de Hidrocarburos del Ecuador (EP Petroecuador),Empresa Publica de Hidrocarburos del Ecuador (EP Petroecuador),Empresa Publica de Hidrocarburos del Ecuador(Petroecuador),1,Parent,,Ownership data not available,Ecuador,NOC,,"114,54",Ecuador,0%,0%,0%,"14,12%",0%,0%,"14,12%",0,,0%,not applicable,"0,54",Ecuador,90%,estimated lower bound interval,,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100066,"As of January 2021, EP Petroecuador and upstream-focused Petroamazonas EP operate as one unified state-owned company under the name EP Petroecuador.",100066,194,5000452780
80,Mitsui & Co Ltd,Mitsui & Co Ltd,Mitsui,1,Parent,,,Japan,Industrial,,"110,69","Australia, Equatorial Guinea, Indonesia, Italy, Oman, Qatar, Russia, Thailand, UAE, USA","19,32%",0%,"0,94%","0,65%",0%,0%,"20,92%","1188,49","Australia, Indonesia, Mozambique, Russia, UAE, USA, Vietnam","21,4%","17,96%","28,5","Argentina, Australia, Brazil, Indonesia, Malaysia, Myanmar, New Zealand, Oman, Russia, Thailand, United Kingdom, USA, Vietnam",NA,insufficient reporting,FY22-23,"Scarborough Gas, Cabo Delgado, Yamal LNG and Arctic LNG 2","Environmental Destruction, Litigation, Social Harm, Conflict/Violence",https://gogel.org/lookup/100078,,100078,375,8031.T
81,CNX Resources Corporation,CNX Resources Corporation,CNX Resources,1,Parent,,,USA,Independent,,"110,66",USA,"92,26%",0%,"7,73%",0%,0%,0%,"99,99%","499,49",USA,100%,"53,46%","27,73",USA,100%,exact number,FY22,,,,,100086,127,CNX.N
82,Aker BP ASA,Aker BP ASA,Aker BP,1,Parent,,,Norway,Independent,,"109,05",Norway,0%,0%,0%,0%,0%,"12,64%","12,64%","1110,77","Norway, United Kingdom","21,81%",100%,"456,64","Norway, United Kingdom",100%,exact number,FY22,Barents Sea,"Environmental Destruction, Litigation",https://gogel.org/lookup/100098,,100098,12,AKRBP.OL
83,Blue Star Exploration Co.,Comstock Resources Inc,Comstock,0.67,Parent,,,USA,Independent,,"104,66",USA,"99,48%",0%,"0,01%",0%,0%,0%,"99,5%","550,5",USA,100%,"80,01%","77,05",USA,100%,exact number,FY22,,,,,100082,135,CRK.N
84,Mewbourne Oil Company,Mewbourne Oil Company,Mewbourne,1,Parent,,Ownership data not available,USA,Independent,,"102,62",USA,"98,16%",0%,0%,0%,0%,0%,"98,16%","586,23",USA,100%,"85,32%","135,46",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100102,,100102,369,4297930887
85,Perenco SA,Perenco SA,Perenco,1,Parent,,Ownership data not available,France,Independent,,"99,43","Brazil, Cameroon, Chad, Colombia, Republic of the Congo, Democratic Republic of the Congo, Gabon, Guatemala, Mexico, Peru, Trinidad and Tobago, Tunisia, Turkey, United Kingdom, Venezuela, Vietnam",0%,0%,0%,"3,91%",0%,0%,"3,91%","198,33","Brazil, Cameroon, Republic of the Congo, Gabon, Vietnam",not applicable,"59,22%","66,68","Cameroon, Chad, Colombia, Republic of the Congo, Democratic Republic of the Congo, Egypt, Gabon, Peru, Trinidad and Tobago, Turkey, United Kingdom, Vietnam",90%,estimated lower bound interval,,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100088,,100088,450,4297451644
86,Santos Ltd,Santos Ltd,Santos,1,Parent,,,Australia,Industrial,,"99,2","Australia, Papua New Guinea, Timor-Leste","0,06%",0%,"13,3%","0,82%","7,28%",0%,"21,47%","1386,61","Australia, Papua New Guinea, USA","35,83%","58,92%","271,07","Australia, Papua New Guinea, Timor-Leste, USA","98,84%",exact lower bound,FY22,"Narrabri CBM, Willow and NPR-A","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100084,,100084,544,STO.AX
87,Sonangol EP,Sonangol EP,Sonangol,1,Parent,,Ownership data not available,Angola,NOC,,"96,58","Angola, Brazil, Republic of the Congo, Iraq, Venezuela",0%,0%,0%,"0,61%","30,6%",0%,"31,22%","361,28",Angola,"33,9%","86,79%","130,67","Angola, Brazil, Republic of the Congo, Cuba","97,49%",exact lower bound,FY22,,,,,100070,581,5043378913
88,PDC Energy Inc,PDC Energy Inc,PDC Energy,1,Parent,,Ownership data not available,USA,Independent,,"96,41",USA,"99,18%",0%,0%,0%,0%,0%,"99,18%",0,,0%,not applicable,"30,59",USA,"99,67%",exact lower bound,FY22,,,,,100094,443,5046050237
89,NJSC Naftogaz of Ukraine,NJSC Naftogaz of Ukraine,Naftogaz,1,Parent,,Ownership data not available,Ukraine,NOC,,"92,98","Egypt, Ukraine",0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"15,51","Egypt, Ukraine","98,11%",exact lower bound,FY21,,,,,100079,399,4295918115
90,Türkiye Petrolleri AO (TPAO),Türkiye Petrolleri AO (TPAO),Türkiye Petrolleri(TPAO),1,Parent,,Ownership data not available,Turkey,INOC,,"82,31","Azerbaijan, Iraq, Russia, Turkey",0%,0%,0%,"14,12%",0%,0%,"14,12%","874,21","Azerbaijan, Turkey","91,51%","97,81%","727,15","Afghanistan, Azerbaijan, Iraq, Russia, Turkey",90%,estimated lower bound interval,,Southern Gas Corridor,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100104,,100104,646,4296864278
91,Oman Investment Authority,OQ SAOC,OQ,0.51,Parent,,,Oman,NOC,,81,"Kazakhstan, Oman","38,05%",0%,0%,"9,16%",0%,0%,"47,21%","71,55",Oman,not applicable,100%,"13,68","Kazakhstan, Oman","87,95%",exact number,FY22,,,,,100117,425,5000007790
92,Rockcliff Energy LLC,Rockcliff Energy LLC,Rockcliff,1,Parent,,Ownership data not available,USA,Independent,,"80,28",USA,"99,11%",0%,0%,0%,0%,0%,"99,11%","437,73",USA,100%,"78,37%","83,45",USA,90%,estimated lower bound interval,,,,,,100106,531,5083313243
93,Mitsubishi Corporation,Mitsubishi Corporation,Mitsubishi,1,Parent,,,Japan,Industrial,,"78,84","Australia, Brunei, Canada, Gabon, Indonesia, Iraq, Japan, Malaysia, Myanmar, Oman, Papua New Guinea, Russia, USA","43,14%",0%,0%,0%,0%,0%,"43,14%","301,24","Brunei, Canada, Indonesia, Iraq, USA","52,79%","52,86%","23,34","Australia, Brunei, Canada, China, Gabon, Indonesia, Malaysia, Myanmar, Russia, United Kingdom, Venezuela",NA,insufficient reporting,FY21-22,Scarborough Gas,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100089,,100089,374,8058.T
